Name,Type,CMC,Color Identity,Oracle Text,Keywords,Power,Toughness
"Sophina, Spearsage Deserter",Human Soldier,4.0,"R, W","MenaceWhenever Sophina, Spearsage Deserter attacks, investigate once for each nontoken attacking creature. (To investigate, create a Clue token. It's an artifact with ""{2}, Sacrifice this artifact: Draw a card."")Friends forever (You can have two commanders if both have friends forever.)","Investigate, Menace, Friends forever",4,4
"Soramaro, First to Dream",Spirit,6.0,U,"FlyingSoramaro's power and toughness are each equal to the number of cards in your hand.{4}, Return a land you control to its owner's hand: Draw a card.",Flying,0,0
"Sorin of House Markov // Sorin, Ravenous Neonate",Human Noble // Legendary Planeswalker,2.0,"B, W",Missing Oracle Text,"Lifelink, Extort, Transform, Food",0,0
"Soundwave, Sonic Spy // Soundwave, Superior Captain",Robot // Legendary Artifact,4.0,"B, U, W",Missing Oracle Text,"Convert, More Than Meets the Eye",0,0
"Spike, Tournament Grinder",Human Gamer,4.0,B,({B/P} can be paid with either {B} or 2 life.){B/P}{B/P}{B/P}{B/P}: Reveal a card you own from outside the game that has been banned or restricted in a Constructed format and put it into your hand.,,1,1
"Squee, Dubious Monarch",Goblin Noble,3.0,R,"HasteWhenever Squee attacks, create a 1/1 red Goblin creature token that's tapped and attacking.You may cast this card from your graveyard by paying {3}{R} and exiling four other cards from your graveyard rather than paying its mana cost.",Haste,2,2
"Squee, Goblin Nabob",Goblin,3.0,R,"At the beginning of your upkeep, you may return this card from your graveyard to your hand.",,1,1
Stangg,Human Warrior,6.0,"G, R","When Stangg enters, create Stangg Twin, a legendary 3/4 red and green Human Warrior creature token. Exile that token when Stangg leaves the battlefield. Sacrifice Stangg when that token leaves the battlefield.",,3,4
Starke of Rath,Human Rogue,3.0,R,{T}: Destroy target artifact or creature. That permanent's controller gains control of Starke. (This effect lasts indefinitely.),,2,2
"Starscream, Power Hungry // Starscream, Seeker Leader",Robot // Legendary Artifact,4.0,B,Missing Oracle Text,"Flying, Living metal, Haste, Convert, Menace, More Than Meets the Eye",0,0
"Stet, Draconic Proofreader",Dragon Bureaucrat,6.0,"R, W","FlyingWhenever Stet attacks, you may exile a card from your graveyard. When you do, Stet deals 4 damage to any target whose name begins with the same letter as the exiled card.{W}: Delete the first letter of target permanent or player's name until end of turn.",Flying,4,4
Stitcher Geralf,Human Wizard,5.0,U,"{2}{U}, {T}: Each player mills three cards. Exile up to two creature cards put into graveyards this way. Create an X/X blue Zombie creature token, where X is the total power of the cards exiled this way.",Mill,3,4
"Stonebrow, Krosan Hero",Centaur Warrior,5.0,"G, R","TrampleWhenever a creature you control with trample attacks, it gets +2/+2 until end of turn.",Trample,4,4
"Strax, Sontaran Nurse",Alien Cleric,5.0,"G, R","Vigilance, trampleGrenades! — {2}, {T}, Sacrifice an artifact: Choose a player at random. When you do, Strax fights another target creature that player controls.Glory of Battle — Whenever Strax deals damage to a creature, put a +1/+1 counter on Strax.","Vigilance, Glory of Battle, Trample, Fight, Grenades!",5,5
Street Urchin,Background,2.0,R,"Commander creatures you own have ""{1}, Sacrifice another creature or an artifact: This creature deals 1 damage to any target.""",,0,0
"Strider, Ranger of the North",Human Ranger,4.0,"G, R","Landfall — Whenever a land you control enters, target creature gets +1/+1 until end of turn. Then if that creature has power 4 or greater, it gains first strike until end of turn.",Landfall,4,4
"Sun Ce, Young Conquerer",Human Soldier,5.0,U,"Horsemanship (This creature can't be blocked except by creatures with horsemanship.)When Sun Ce enters, you may return target creature to its owner's hand.",Horsemanship,3,3
"Sundial, Dawn Tyrant",Construct,2.0,W,,,3,3
Surgeon General Commander,Wombat Bat Chameleon,4.0,"B, G, R, U, W","Whenever you augment, enchant, or mutate a creature you control, draw a card.{T}: Add {W}, {U}, {B}, {R}, or {G}.",Enchant,3,3
"Surrak, Elusive Hunter",Human Warrior,3.0,G,"This spell can't be countered.TrampleWhenever a creature you control or a creature spell you control becomes the target of a spell or ability an opponent controls, draw a card.",Trample,4,3
"Surrak, the Hunt Caller",Human Warrior,4.0,G,"Formidable — At the beginning of combat on your turn, if creatures you control have total power 8 or greater, target creature you control gains haste until end of turn. (It can attack and {T} no matter when it came under your control.)",Formidable,5,4
"Surtr, Fiery Jotun",Giant God Warrior,5.0,R,"Trample (This creature can deal excess combat damage to the player it's attacking.)Whenever you cast a historic spell, Surtr deals 3 damage to any target. (Artifacts, legendaries, and Sagas are historic.)",Trample,5,5
Susan Foreman,Time Lord,2.0,G,"If you would planeswalk, instead look at the top two cards of your planar deck, put one on the bottom of your planar deck and the other on top, then planeswalk.{T}: Add {G}.Doctor's companion (You can have two commanders if the other is the Doctor.)",Doctor's companion,1,1
"Sutina, Speaker of the Tajuru",Elf Scout,3.0,G,"When Sutina enters, search your library for a basic land card, put it onto the battlefield tapped, then shuffle.Whenever Sutina attacks, you may return a land you control to its owner's hand. When you do, put a +1/+1 counter on target creature.",,2,2
Sword Coast Sailor,Background,2.0,U,"Commander creatures you own have ""Whenever this creature attacks a player, if no opponent has more life than that player, this creature can't be blocked this turn.""",,0,0
Sylvia Brightspear,Human Knight,3.0,W,"Partner with Khorvath Brightflame (When this creature enters, target player may put Khorvath into their hand from their library, then shuffle.)Double strikeDragons your team controls have double strike.","Partner with, Partner, Double strike",2,2
"Syr Alin, the Lion's Claw",Human Knight,5.0,W,"First strike (This creature deals combat damage before creatures without first strike.)Whenever Syr Alin attacks, other creatures you control get +1/+1 until end of turn.",First strike,4,4
"Syr Cadian, Knight Owl",Bird Knight,5.0,"B, W",Knightlifelink (Damage dealt by Knights you control also causes you to gain that much life.){W}: Syr Cadian gains vigilance until end of turn. Activate only from sunrise to sunset.{B}: Syr Cadian gains flying until end of turn. Activate only from sunset to sunrise.,,4,4
"Syr Elenora, the Discerning",Human Knight,5.0,U,"Syr Elenora's power is equal to the number of cards in your hand.When Syr Elenora enters, draw a card.Spells your opponents cast that target Syr Elenora cost {2} more to cast.",,0,4
"Syr Faren, the Hengehammer",Human Knight,2.0,G,"Whenever Syr Faren attacks, another target attacking creature gets +X/+X until end of turn, where X is Syr Faren's power.",,2,2
Syr Joshua and Syr Saxon,Human Knight,2.0,"G, W","Double teamIf you control exactly two legendary permanents named Syr Joshua and Syr Saxon, the ""legend rule"" doesn't apply to them.Each other creature you control named Syr Joshua and Syr Saxon has battle cry.",,2,3
"Szadek, Lord of Secrets",Vampire,7.0,"B, U","FlyingIf Szadek would deal combat damage to a player, instead put that many +1/+1 counters on Szadek and that player mills that many cards.","Flying, Mill",5,5
"Taigam, Master Opportunist",Human Monk,2.0,U,"Flurry — Whenever you cast your second spell each turn, copy it, then exile the spell you cast with four time counters on it. If it doesn't have suspend, it gains suspend. (At the beginning of its owner's upkeep, they remove a time counter. When the last is removed, they may play it without paying its mana cost. If it's a creature, it has haste.)",,2,2
"Taigam, Sidisi's Hand",Human Wizard,5.0,"B, U","Skip your draw step.At the beginning of your upkeep, look at the top three cards of your library. Put one of them into your hand and the rest into your graveyard.{B}, {T}, Exile X cards from your graveyard: Target creature gets -X/-X until end of turn.",,3,4
"Tajic, Legion's Valor",Human Soldier,4.0,"R, W","Indestructible, hasteAt the beginning of combat on your turn, put a +1/+1 counter on Tajic, Legion's Valor. Then conjure a card with mana value equal to the number of +1/+1 counters on it from Tajic, Legion's Valor's spellbook onto the battlefield. It gains haste until end of turn and attacks this combat if able.","Indestructible, Haste, Conjure",1,1
"Tamiyo, Inquisitive Student // Tamiyo, Seasoned Scholar",Moonfolk Wizard // Legendary Planeswalker,1.0,"G, U",Missing Oracle Text,"Flying, Investigate, Transform",0,0
"Tana, the Bloodsower",Elf Druid,4.0,"G, R","TrampleWhenever Tana deals combat damage to a player, create that many 1/1 green Saproling creature tokens.Partner (You can have two commanders if both have partner.)","Partner, Trample",2,2
Tanazir Quandrix,Elder Dragon,5.0,"G, U","Flying, trampleWhen Tanazir Quandrix enters, double the number of +1/+1 counters on target creature you control.Whenever Tanazir Quandrix attacks, you may have the base power and toughness of other creatures you control become equal to Tanazir Quandrix's power and toughness until end of turn.","Flying, Trample",4,4
"Tan Jolom, the Worldwalker",Spirit,4.0,"G, U, W","At the beginning of combat on your turn, choose up to one target artifact or land you control that isn't a creature or token. Until end of turn, it becomes a 3/3 Spirit creature with vigilance and double team in addition to its other types.",,3,3
"Taranika, Akroan Veteran",Human Soldier,3.0,W,"VigilanceWhenever Taranika attacks, untap another target creature you control. Until end of turn, that creature has base power and toughness 4/4 and gains indestructible.",Vigilance,3,3
Tarox Bladewing,Dragon,5.0,R,"Flying, hasteGrandeur — Discard another card named Tarox Bladewing: Tarox Bladewing gets +X/+X until end of turn, where X is its power.","Flying, Grandeur, Haste",4,3
Tavern Brawler,Background,3.0,R,"Commander creatures you own have ""At the beginning of your upkeep, exile the top card of your library. This creature gets +X/+0 until end of turn, where X is that card's mana value. You may play that card this turn.""",,0,0
"Tawnos, Urza's Apprentice",Human Artificer,2.0,"R, U","Haste{U}{R}, {T}: Copy target activated or triggered ability you control from an artifact source. You may choose new targets for the copy. (Mana abilities can't be targeted.)",Haste,1,3
"Teferi, Mage of Zhalfir",Human Wizard,5.0,U,FlashCreature cards you own that aren't on the battlefield have flash.Each opponent can cast spells only any time they could cast a sorcery.,Flash,3,4
"Teferi, Temporal Archmage",Teferi,6.0,U,"+1: Look at the top two cards of your library. Put one of them into your hand and the other on the bottom of your library.−1: Untap up to four target permanents.−10: You get an emblem with ""You may activate loyalty abilities of planeswalkers you control on any player's turn any time you could cast an instant.""Teferi, Temporal Archmage can be your commander.",,0,0
Tegan Jovanka,Human,3.0,W,"Brave Heart — Whenever you attack, target attacking historic creature gets +1/+1 and gains indestructible until end of turn. (Artifacts, legendaries, and Sagas are historic.)Doctor's companion (You can have two commanders if the other is the Doctor.)","Brave Heart, Doctor's companion",2,2
Telim'Tor,Human Knight,5.0,R,"Flanking (Whenever a creature without flanking blocks this creature, the blocking creature gets -1/-1 until end of turn.)Whenever Telim'Tor attacks, all attacking creatures with flanking get +1/+1 until end of turn.",Flanking,2,2
"Temmet, Vizier of Naktamun",Human Cleric,2.0,"U, W","At the beginning of combat on your turn, target creature token you control gets +1/+1 until end of turn and can't be blocked this turn.Embalm {3}{W}{U} ({3}{W}{U}, Exile this card from your graveyard: Create a token that's a copy of it, except it's a white Zombie Human Cleric with no mana cost. Embalm only as a sorcery.)",Embalm,2,2
"Tergrid, God of Fright // Tergrid's Lantern",God // Legendary Artifact,5.0,B,Missing Oracle Text,Menace,0,0
"Terra, Herald of Hope",Human Wizard Warrior,3.0,"B, R, W","Trance — At the beginning of combat on your turn, mill two cards. Terra gains flying until end of turn.Whenever Terra deals combat damage to a player, you may pay {2}. When you do, return target creature card with power 3 or less from your graveyard to the battlefield tapped.","Mill, Trance",3,3
"Terrian, World Tyrant",Dinosaur Ooze,5.0,G,,,9,7
Tersa Lightshatter,Orc Wizard,3.0,R,"HasteWhen Tersa Lightshatter enters, discard up to two cards, then draw that many cards.Whenever Tersa Lightshatter attacks, if there are seven or more cards in your graveyard, exile a card at random from your graveyard. You may play that card this turn.",Haste,3,3
Tetsuo Umezawa,Human Archer,3.0,"B, R, U","Tetsuo Umezawa can't be the target of Aura spells.{U}{B}{B}{R}, {T}: Destroy target tapped or blocking creature.",,3,3
"Tetzimoc, Primal Death",Elder Dinosaur,6.0,B,"Deathtouch{B}, Reveal this card from your hand: Put a prey counter on target creature. Activate only during your turn.When Tetzimoc enters, destroy each creature your opponents control with a prey counter on it.",Deathtouch,6,6
"Tetzin, Gnome Champion // The Golden-Gear Colossus",Gnome // Legendary Artifact Creature,3.0,"R, U, W",Missing Oracle Text,"Craft, Vigilance, Transform, Trample, Mill",0,0
"Tevesh Szat, Doom of Fools",Szat,5.0,B,"+2: Create two 0/1 black Thrull creature tokens.+1: You may sacrifice another creature or planeswalker. If you do, draw two cards, then draw another card if the sacrificed permanent was a commander.−10: Gain control of all commanders. Put all commanders from the command zone onto the battlefield under your control.Tevesh Szat, Doom of Fools can be your commander.Partner",Partner,0,0
Teysa of the Ghost Council,Spirit Advisor,4.0,"B, W","Starting intensity 0When Teysa enters, create a 1/1 white and black Spirit creature token with flying. Teysa intensifies by 1.Spirits you control get +X/+0, where X is Teysa's intensity.At the beginning of your end step, you may exile Teysa. If you do, at the beginning of your next upkeep, return Teysa to the battlefield under its owner's control and it gains haste.",Intensity,0,5
"Thalia, Heretic Cathar",Human Soldier,3.0,W,First strikeCreatures and nonbasic lands your opponents control enter tapped.,First strike,3,2
"The Balrog, Flame of Udun",Avatar Demon,5.0,"B, R","TrampleWhen a legendary creature an opponent controls dies, put The Balrog on the bottom of its owner's library.",Trample,7,7
The Balrog of Moria,Avatar Demon,7.0,"B, R","Trample, hasteWhen The Balrog of Moria dies, you may exile it. When you do, for each opponent, exile up to one target creature that player controls.Cycling {3}{R} ({3}{R}, Discard this card: Draw a card.)When you cycle this card, create two Treasure tokens.","Treasure, Haste, Trample, Cycling",8,8
The Big Idea,Brainiac Villain,6.0,"B, R","{2}{B/R}{B/R}, {T}: Roll a six-sided die. Create a number of 1/1 red Brainiac creature tokens equal to the result.Tap three untapped Brainiacs you control: The next time you would roll a six-sided die, instead roll two six-sided dice and use the total of those results.",,4,4
The Eighth Doctor,Time Lord Doctor,6.0,"U, W","When The Eighth Doctor enters, mill three cards.Once during each of your turns, you may play a historic land or cast a historic permanent spell from your graveyard. If you do, it gains ""If this permanent would leave the battlefield, exile it instead of putting it anywhere else.""",Mill,4,4
The Eleventh Doctor,Time Lord Doctor,3.0,"U, W","I. AM. TALKING! — Whenever The Eleventh Doctor deals combat damage to a player, you may exile a card from your hand with a number of time counters on it equal to its mana value. If it doesn't have suspend, it gains suspend.{2}: Target creature with power 3 or less can't be blocked this turn.",I. AM. TALKING!,3,2
The Ever-Changing 'Dane,Shapeshifter,3.0,"B, U, W","{1}, Sacrifice another creature: The Ever-Changing 'Dane becomes a copy of the sacrificed creature, except it has this ability.",,3,3
The Fifteenth Doctor,Time Lord Doctor,4.0,"R, U","Whenever The Fifteenth Doctor enters or attacks, mill three cards. You may put an artifact card with mana value 2 or 3 from among them into your hand.The first nonartifact spell you cast each turn has improvise. (Your artifacts can help cast that spell. Each artifact you tap after you're done activating mana abilities pays for {1}.)",Mill,3,3
The Fifth Doctor,Time Lord Doctor,4.0,"U, W","Peaceful Coexistence — At the beginning of your end step, put a +1/+1 counter on each creature you control that didn't attack or enter this turn. Untap those creatures.",Peaceful Coexistence,2,2
The First Doctor,Time Lord Doctor,3.0,"U, W","When The First Doctor enters, search your library and/or graveyard for a card named TARDIS, reveal it, and put it into your hand. If you search your library this way, shuffle.Whenever you cast a spell with cascade, put a +1/+1 counter on target artifact or creature.",,2,2
The Fourteenth Doctor,Time Lord Doctor,3.0,"G, R, U, W","When you cast this spell, reveal the top fourteen cards of your library. Put all Doctor cards revealed this way into your graveyard and the rest on the bottom of your library in a random order.You may have The Fourteenth Doctor enter as a copy of a Doctor card in your graveyard that was put there from your library this turn. If you do, it gains haste until end of turn.",,3,4
The Fourth Doctor,Time Lord Doctor,4.0,"G, U","You may look at the top card of your library any time.Would You Like A...? — Once each turn, you may play a historic land or cast a historic spell from the top of your library. When you do, create a Food token. (Artifacts, legendaries, and Sagas are historic.)",Food,4,4
The Fugitive Doctor,Time Lord Doctor,5.0,"G, R","When The Fugitive Doctor enters, investigate.Whenever The Fugitive Doctor attacks, you may sacrifice a Clue. When you do, target instant or sorcery card in your graveyard gains flashback {2}{R}{G} until end of turn. (You may cast that card from your graveyard for its flashback cost. Then exile it.)",Investigate,4,4
The Gaffer,Halfling Peasant,3.0,W,"At the beginning of each end step, if you gained 3 or more life this turn, draw a card.",,2,3
The Grand Calcutron,No Subtype,2.0,"U, W","When The Grand Calcutron enters, each player's hand becomes a program (an ordered row of revealed cards).Players can play only the first card of their program.If a card would be put into a player's hand from anywhere, that player reveals it and places it anywhere within their program instead.At the beginning of each player's end step, if that player's program has fewer than five cards, they draw cards equal to the difference.The Grand Calcutron can be your commander.",,0,0
The Haunt of Hightower,Vampire,6.0,B,"Flying, lifelinkWhenever The Haunt of Hightower attacks, defending player discards a card.Whenever a card is put into an opponent's graveyard from anywhere, put a +1/+1 counter on The Haunt of Hightower.","Flying, Lifelink",3,3
The Hourglass Coven,Hag Warlock,6.0,B,"When The Hourglass Coven enters the battlefield, draft a card from The Hourglass Coven's spellbook twice, then put those cards onto the battlefield.Other Warlocks you control get +1/+1.",,3,3
Themberchaud,Dragon,7.0,R,"TrampleWhen Themberchaud enters, he deals X damage to each other creature without flying and each player, where X is the number of Mountains you control.You may exert Themberchaud as he attacks. When you do, he gains flying until end of turn. (An exerted creature won't untap during your next untap step.)","Trample, Exert",5,5
The Meep,Alien,3.0,B,"Ward—Pay 3 life.Whenever The Meep attacks, you may sacrifice another creature. If you do, creatures you control have base power and toughness X/X until end of turn, where X is the sacrificed creature's mana value.",Ward,0,4
The Ninth Doctor,Time Lord Doctor,3.0,"R, U","HasteInto the TARDIS — Whenever The Ninth Doctor becomes untapped during your untap step, you get an additional upkeep step after this step.","Into the TARDIS, Haste",2,4
The Prismatic Piper,Shapeshifter,5.0,No Color Identity,"If The Prismatic Piper is your commander, choose a color before the game begins. The Prismatic Piper is the chosen color.Partner (You can have two commanders if both have partner.)",Partner,3,3
The Red Terror,Tyranid,4.0,R,"Advanced Species — Whenever a red source you control deals damage to one or more permanents and/or players, put a +1/+1 counter on The Red Terror.",Advanced Species,4,3
The Second Doctor,Time Lord Doctor,4.0,"U, W","Players have no maximum hand size.How Civil of You — At the beginning of your end step, each player may draw a card. Each opponent who does can't attack you or permanents you control during their next turn.",How Civil of You,2,4
The Seventh Doctor,Time Lord Doctor,5.0,"U, W","Whenever The Seventh Doctor attacks, choose a card in your hand. Defending player guesses whether that card's mana value is greater than the number of artifacts you control. If they guessed wrong, you may cast it without paying its mana cost. If you don't cast a spell this way, investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")",Investigate,3,6
The Sixth Doctor,Time Lord Doctor,6.0,"G, U","Time Lord's Prerogative — Whenever you cast a historic spell, copy it, except the copy isn't legendary. This ability triggers only once each turn. (Artifacts, legendaries, and Sagas are historic. A copy of a permanent spell becomes a token.)",Time Lord's Prerogative,3,3
The Third Doctor,Time Lord Doctor,4.0,"G, U","TrampleThe Third Doctor gets +1/+1 for each noncreature token you control.When The Third Doctor enters, create your choice of a Clue token, a Food token, or a Treasure token.","Treasure, Food, Trample",2,2
The Thirteenth Doctor,Time Lord Doctor,3.0,"G, U","Paradox — Whenever you cast a spell from anywhere other than your hand, put a +1/+1 counter on target creature.Team TARDIS — At the beginning of your end step, untap each creature you control with a counter on it.","Paradox, Team TARDIS",2,2
The Twelfth Doctor,Time Lord Doctor,5.0,"R, U","The first spell you cast from anywhere other than your hand each turn has demonstrate. (When you cast that spell, you may copy it. If you do, choose an opponent to also copy it. A copy of a permanent spell becomes a token.)Whenever you copy a spell, put a +1/+1 counter on The Twelfth Doctor.",,4,4
The Unspeakable,Spirit,9.0,U,"Flying, trampleWhenever The Unspeakable deals combat damage to a player, you may return target Arcane card from your graveyard to your hand.","Flying, Trample",6,7
The War Doctor,Time Lord Doctor,4.0,"R, W","Whenever one or more other permanents phase out and whenever one or more other cards are put into exile from anywhere, put a time counter on The War Doctor.Whenever The War Doctor attacks, it deals damage equal to the number of time counters on it to any target. If a creature dealt damage this way would die this turn, exile it instead.",,3,5
"Thrasios, Triton Hero",Merfolk Wizard,2.0,"G, U","{4}: Scry 1, then reveal the top card of your library. If it's a land card, put it onto the battlefield tapped. Otherwise, draw a card.Partner (You can have two commanders if both have partner.)","Partner, Scry",1,3
"Tiana, Angelic Mechanic",Angel Artificer,3.0,"R, W","FlyingWhen Tiana, Angelic Mechanic or another legendary creature you control crews a Vehicle, that Vehicle perpetually gets +1/+0.",Flying,3,2
"Tiana, Ship's Caretaker",Angel Artificer,5.0,"R, W","Flying, first strikeWhenever an Aura or Equipment you control is put into a graveyard from the battlefield, you may return that card to its owner's hand at the beginning of the next end step.","Flying, First strike",3,3
"Timin, Youthful Geist",Spirit,5.0,U,"Partner with Rhoda, Geist Avenger (When this creature enters, target player may put Rhoda into their hand from their library, then shuffle.)FlyingAt the beginning of each combat, tap up to one target creature.","Flying, Partner with, Partner",3,4
"Timmy, Power Gamer",Human Gamer,4.0,G,{4}: You may put a creature card from your hand onto the battlefield.,,1,1
Tivadar of Thorn,Human Knight,3.0,W,"First strike, protection from redWhen Tivadar enters, destroy target Goblin.","First strike, Protection",2,2
"Tivash, Gloom Summoner",Human Warlock,5.0,B,"LifelinkAt the beginning of your end step, if you gained life this turn, you may pay X life, where X is the amount of life you gained this turn. If you do, create an X/X black Demon creature token with flying.",Lifelink,4,4
"Tobias, Doomed Conqueror",Human Soldier,4.0,"U, W","FlashWhen Tobias dies, for each nontoken creature you controlled that died this turn, create a 2/2 black Zombie creature token.",Flash,3,2
"Toggo, Goblin Weaponsmith",Goblin Artificer,3.0,R,"Landfall — Whenever a land you control enters, create a colorless Equipment artifact token named Rock with ""Equipped creature has '{1}, {T}, Sacrifice Rock: This creature deals 2 damage to any target'"" and equip {1}.Partner (You can have two commanders if both have partner.)","Partner, Landfall",2,2
"Tomik, Distinguished Advokist",Human Advisor,2.0,W,FlyingLands on the battlefield and land cards in graveyards can't be the targets of spells or abilities your opponents control.Your opponents can't play land cards from graveyards.,Flying,2,3
"Tomorrow, Azami's Familiar",Spirit,6.0,U,"If you would draw a card, look at the top three cards of your library instead. Put one of those cards into your hand and the rest on the bottom of your library in any order.",,1,5
"Toralf, God of Fury // Toralf's Hammer",God // Legendary Artifact,4.0,R,Missing Oracle Text,"Trample, Equip",0,0
"Torgaar, Famine Incarnate",Avatar,8.0,B,"As an additional cost to cast this spell, you may sacrifice any number of creatures. This spell costs {2} less to cast for each creature sacrificed this way.When Torgaar enters, up to one target player's life total becomes half their starting life total, rounded down.",,7,6
"Tormod, the Desecrator",Zombie Wizard,4.0,B,"Whenever one or more cards leave your graveyard, create a tapped 2/2 black Zombie creature token.Partner (You can have two commanders if both have partner.)",Partner,4,2
"Torsten, Founder of Benalia",Human Soldier,7.0,"G, W","When Torsten enters, reveal the top seven cards of your library. Put any number of creature and/or land cards from among them into your hand and the rest on the bottom of your library in a random order.When Torsten dies, create seven 1/1 white Soldier creature tokens.",,7,7
Torsten Von Ursus,Human Soldier,6.0,"G, W",,,5,5
Tor Wauki,Human Archer,5.0,"B, R",{T}: Tor Wauki deals 2 damage to target attacking or blocking creature.,,3,3
"Tovolar, Dire Overlord // Tovolar, the Midnight Scourge",Human Werewolf // Legendary Creature,3.0,"G, R",Missing Oracle Text,"Daybound, Transform, Nightbound",0,0
Triad of Fates,Human Wizard,4.0,"B, W","{1}, {T}: Put a fate counter on another target creature.{W}, {T}: Exile target creature that has a fate counter on it, then return it to the battlefield under its owner's control.{B}, {T}: Exile target creature that has a fate counter on it. Its controller draws two cards.",,3,3
Tromokratis,Kraken,7.0,U,"Tromokratis has hexproof unless it's attacking or blocking.Tromokratis can't be blocked unless all creatures defending player controls block it. (If any creature that player controls doesn't block this creature, it can't be blocked.)",,8,8
Trostani Discordant,Dryad,5.0,"G, W","Other creatures you control get +1/+1.When Trostani enters, create two 1/1 white Soldier creature tokens with lifelink.At the beginning of your end step, each player gains control of all creatures they own.",,1,4
"Truss, Chief Engineer",Vedalken Rogue Employee,2.0,"B, U","Whenever Truss, Chief Engineer enters or another creature dies, put a hack counter on Truss.{2}, {T}, Remove X hack counters from Truss: Add or subtract X from a number or number word on target spell or permanent until end of turn. This effect can't reduce a number below 1 or a number word below one.",,1,3
"Trynn, Champion of Freedom",Human Soldier,4.0,W,"Partner with Silvar, Devourer of the Free (When this creature enters, target player may put Silvar into their hand from their library, then shuffle.)At the beginning of your end step, if you attacked this turn, create a 1/1 white Human Soldier creature token.","Partner with, Partner",3,3
Tsabo Tavoc,Phyrexian Horror,7.0,"B, R","First strike, protection from legendary creatures{B}{B}, {T}: Destroy target legendary creature. It can't be regenerated.","First strike, Protection",7,4
"Tsagan, Raider Warlord",Dinosaur Berserker,3.0,"B, R, W","Double strikeStart your engines!Whenever Tsagan attacks, creatures you control get +1/+0 until end of turn for each creature you control with first strike or double strike.Max speed — Tsagan has deathtouch. Other creatures you control have first strike.","Max speed, Double strike, Start your engines!",1,4
Tuknir Deathlock,Human Wizard,4.0,"G, R","Flying{R}{G}, {T}: Target creature gets +2/+2 until end of turn.",Flying,2,2
Tuktuk the Explorer,Goblin,3.0,R,"HasteWhen Tuktuk the Explorer dies, create Tuktuk the Returned, a legendary 5/5 colorless Goblin Golem artifact creature token.",Haste,1,1
"Tura Kennerud, Skyknight",Human Knight,5.0,"U, W","FlyingWhenever you cast an instant or sorcery spell, create a 1/1 white Soldier creature token.",Flying,3,3
Tuya Bearclaw,Human Warrior,3.0,"G, R","Whenever Tuya Bearclaw attacks, it gets +X/+X until end of turn, where X is the greatest power among other creatures you control.",,2,2
"Tymaret, the Murder King",Zombie Warrior,2.0,"B, R","{1}{R}, Sacrifice another creature: Tymaret deals 2 damage to target player or planeswalker.{1}{B}, Sacrifice a creature: Return this card from your graveyard to your hand.",,2,2
Tymna the Weaver,Human Cleric,3.0,"B, W","LifelinkAt the beginning of each of your postcombat main phases, you may pay X life, where X is the number of opponents that were dealt combat damage this turn. If you do, draw X cards.Partner (You can have two commanders if both have partner.)","Lifelink, Partner",2,2
"Tyvar, the Pummeler",Elf Warrior,3.0,G,"Tap another untapped creature you control: Tyvar gains indestructible until end of turn. Tap it.{3}{G}{G}: Creatures you control get +X/+X until end of turn, where X is the greatest power among creatures you control.",,3,3
"Ulder Ravengard, Marshal",Human Noble Soldier,3.0,"R, W","When Ulder Ravengard, Marshal enters the battlefield, another target nontoken creature you control gains double team until end of turn.Whenever Ulder Ravengard attacks, conjure a duplicate of another target nontoken attacking creature into your hand.",Conjure,3,3
"Ulrich of the Krallenhorde // Ulrich, Uncontested Alpha",Human Werewolf // Legendary Creature,5.0,"G, R",Missing Oracle Text,"Transform, Fight",0,0
"Ultra Magnus, Tactician // Ultra Magnus, Armored Carrier",Robot // Legendary Artifact,7.0,"G, R, W",Missing Oracle Text,"Living metal, Haste, Convert, More Than Meets the Eye, Ward, Formidable",0,0
"Urabrask, Heretic Praetor",Phyrexian Praetor,5.0,R,"HasteAt the beginning of your upkeep, exile the top card of your library. You may play it this turn.At the beginning of each opponent's upkeep, the next time they would draw a card this turn, instead they exile the top card of their library. They may play it this turn.",Haste,4,4
Urabrask // The Great Work,Phyrexian Praetor // Enchantment,4.0,R,Missing Oracle Text,"Transform, First strike, Treasure",0,0
"Urdnan, Dromoka Warrior",Human Warrior,2.0,W,"When Urdnan enters, put a +1/+1 counter on target creature.Whenever you attack, target attacking creature with a +1/+1 counter on it gains first strike until end of turn. If that creature has two or more +1/+1 counters on it, it gains double strike until end of turn instead.",,1,1
Ur-Drago,Elemental,7.0,"B, U",First strikeCreatures with swampwalk can be blocked as though they didn't have swampwalk.,First strike,4,4
Ureni of the Unwritten,Spirit Dragon,7.0,"G, R, U","Flying, trampleWhenever Ureni enters or attacks, look at the top eight cards of your library. You may put a Dragon creature card from among them onto the battlefield. Put the rest on the bottom of your library in a random order.","Flying, Trample",7,7
"Ureni, the Song Unending",Spirit Dragon,8.0,"G, R, U","Flying, protection from white and from blackWhen Ureni enters, it deals X damage divided as you choose among any number of target creatures and/or planeswalkers your opponents control, where X is the number of lands you control.","Flying, Protection",10,10
"Urza, Powerstone Prodigy",Human Artificer,3.0,U,"Vigilance{1}, {T}: Draw a card, then discard a card.Whenever you discard one or more artifact cards, create a tapped Powerstone token. This ability triggers only once each turn. (The token is an artifact with ""{T}: Add {C}. This mana can't be spent to cast a nonartifact spell."")",Vigilance,1,3
