Name,Type,CMC,Color Identity,Oracle Text,Keywords,Power,Toughness,theme_label
"Sheoldred, the Apocalypse",Phyrexian Praetor,4.0,B,"DeathtouchWhenever you draw a card, you gain 2 life.Whenever an opponent draws a card, they lose 2 life.",Deathtouch,4,5,Wheels
"Sheoldred, Whispering One",Phyrexian Praetor,7.0,B,"Swampwalk (This creature can't be blocked as long as defending player controls a Swamp.)At the beginning of your upkeep, return target creature card from your graveyard to the battlefield.At the beginning of each opponent's upkeep, that player sacrifices a creature of their choice.","Landwalk, Swampwalk",6,6,Necrons
"Shessra, Death's Whisper",Human Elf Warlock,4.0,"B, G","Bewitching Whispers — When Shessra enters, target creature blocks this turn if able.Whispers of the Grave — At the beginning of your end step, if a creature died this turn, you may pay 2 life. If you do, draw a card.",,1,3,Skeletons
"Shigeki, Jukai Visionary",Snake Druid,2.0,G,"{1}{G}, {T}, Return Shigeki to its owner's hand: Reveal the top four cards of your library. You may put a land card from among them onto the battlefield tapped. Put the rest into your graveyard.Channel — {X}{X}{G}{G}, Discard this card: Return X target nonlegendary cards from your graveyard to your hand.",Channel,1,3,Turbo Fog
"Shiko, Paragon of the Way",Spirit Dragon,5.0,"R, U, W","Flying, vigilanceWhen Shiko enters, exile target nonland card with mana value 3 or less from your graveyard. Copy it, then you may cast the copy without paying its mana cost. (A copy of a permanent spell becomes a token.)","Flying, Vigilance",4,5,Evoke
"Shilgengar, Sire of Famine",Elder Demon,5.0,"B, W","FlyingSacrifice another creature: Create a Blood token. If you sacrificed an Angel this way, create a number of Blood tokens equal to its toughness instead.{W/B}{W/B}{W/B}, Sacrifice six Blood tokens: Return each creature card from your graveyard to the battlefield with a finality counter on it. Those creatures are Vampires in addition to their other types.",Flying,6,6,Angels
"Shirei, Shizo's Caretaker",Spirit,5.0,B,"Whenever a creature with power 1 or less is put into your graveyard from the battlefield, you may return that card to the battlefield at the beginning of the next end step if Shirei is still on the battlefield.",,2,2,Aristocrats
"Shisato, Whispering Hunter",Snake Warrior,4.0,G,"At the beginning of your upkeep, sacrifice a Snake.Whenever Shisato deals combat damage to a player, that player skips their next untap step.",,2,2,Snakes
"Shorikai, Genesis Engine",Vehicle,4.0,"U, W","{1}, {T}: Draw two cards, then discard a card. Create a 1/1 colorless Pilot creature token with ""This token crews Vehicles as though its power were 2 greater.""Crew 8 (Tap any number of creatures you control with total power 8 or more: This Vehicle becomes an artifact creature until end of turn.)Shorikai, Genesis Engine can be your commander.",Crew,8,8,Vehicles
Shroofus Sproutsire,Saproling,3.0,G,"TrampleWhenever a Saproling you control deals combat damage to a player, create that many 1/1 green Saproling creature tokens.",Trample,1,1,Saprolings
"Shu Yun, the Silent Tempest",Human Monk,3.0,"R, U, W","Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)Whenever you cast a noncreature spell, you may pay {R/W}{R/W}. If you do, target creature gains double strike until end of turn.",Prowess,3,2,Sunforger
Sidar Jabari of Zhalfir,Human Knight,4.0,"B, U, W","Eminence — Whenever you attack with one or more Knights, if Sidar Jabari is in the command zone or on the battlefield, draw a card, then discard a card.Flying, first strikeWhenever Sidar Jabari deals combat damage to a player, return target Knight creature card from your graveyard to the battlefield.","Flying, First strike, Eminence",4,3,Knights
"Sidisi, Brood Tyrant",Snake Shaman,4.0,"B, G, U","Whenever Sidisi enters or attacks, mill three cards.Whenever one or more creature cards are put into your graveyard from your library, create a 2/2 black Zombie creature token.",Mill,3,3,Mill
"Sidisi, Undead Vizier",Zombie Snake,5.0,B,"DeathtouchExploit (When this creature enters, you may sacrifice a creature.)When Sidisi exploits a creature, you may search your library for a card, put it into your hand, then shuffle.","Exploit, Deathtouch",4,6,Ad Nauseam
"Sierra, Nuka's Biggest Fan",Human Citizen,4.0,W,"The Nuka-Cola Challenge — Whenever one or more creatures you control deal combat damage to a player, put a quest counter on Sierra and create a Food token.Whenever you sacrifice a Food, target creature you control gets +X/+X until end of turn, where X is the number of quest counters on Sierra.","Food, The Nuka-Cola Challenge",3,4,Food
"Sigarda, Champion of Light",Angel,4.0,"G, W","Flying, trampleHumans you control get +1/+1.Coven — Whenever Sigarda attacks, if you control three or more creatures with different powers, look at the top five cards of your library. You may reveal a Human creature card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.","Flying, Trample, Coven",4,4,Humans
"Sigarda, Font of Blessings",Angel,4.0,"G, W",FlyingOther permanents you control have hexproof.You may look at the top card of your library any time.You may cast Angel spells and Human spells from the top of your library.,Flying,4,4,Angels
"Sigurd, Jarl of Ravensthorpe",Human Warrior,3.0,"G, R, W","Vigilance, trample, lifelinkBoast — {1}: Put a lore counter on target Saga you control or remove one from it. (Activate only if this creature attacked this turn and only once each turn.)Whenever you put a lore counter on a Saga you control, put a +1/+1 counter on up to one other target creature.","Lifelink, Vigilance, Boast, Trample",3,3,Sagas
"Silumgar, the Drifting Death",Dragon,6.0,"B, U","Flying, hexproofWhenever a Dragon you control attacks, creatures defending player controls get -1/-1 until end of turn.","Flying, Hexproof",3,7,Drakes
"Sisay, Weatherlight Captain",Human Soldier,3.0,"B, G, R, U, W","Sisay gets +1/+1 for each color among other legendary permanents you control.{W}{U}{B}{R}{G}: Search your library for a legendary permanent card with mana value less than Sisay's power, put that card onto the battlefield, then shuffle.",,2,2,Historic
Sisters of Stone Death,Gorgon,8.0,"B, G",{G}: Target creature blocks Sisters of Stone Death this turn if able.{B}{G}: Exile target creature blocking or blocked by Sisters of Stone Death.{2}{B}: Put a creature card exiled with Sisters of Stone Death onto the battlefield under your control.,,7,5,Deathtouch
"Sita Varma, Masked Racer",Human Rogue,2.0,"G, U",Exhaust — {X}{G}{G}{U}: Put X +1/+1 counters on Sita Varma. Then you may have the base power and toughness of each other creature you control become equal to Sita Varma's power until end of turn. (Activate each exhaust ability only once.),Exhaust,2,3,Saboteurs
"Sivitri, Dragon Master",Sivitri,4.0,"B, U","+1: Until your next turn, creatures can't attack you or planeswalkers you control unless their controller pays 2 life for each of those creatures.−3: Search your library for a Dragon card, reveal it, put it into your hand, then shuffle.−7: Destroy all non-Dragon creatures.Sivitri, Dragon Master can be your commander.",,0,0,Dragons
Sivitri Scarzam,Human,7.0,"B, U",,,6,4,Drakes
Six,Treefolk,3.0,G,"ReachWhenever Six attacks, mill three cards. You may put a land card from among them into your hand.During your turn, nonland permanent cards in your graveyard have retrace. (You may cast permanent cards from your graveyard by discarding a land card in addition to paying their other costs.)","Reach, Mill",2,4,Treefolk
Skeleton Ship,Skeleton,5.0,"B, U","When you control no Islands, sacrifice Skeleton Ship.{T}: Put a -1/-1 counter on target creature.",,0,3,-1/-1 Counters
"Skithiryx, the Blight Dragon",Phyrexian Dragon Skeleton,5.0,B,FlyingInfect (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.){B}: Skithiryx gains haste until end of turn.{B}{B}: Regenerate Skithiryx.,"Flying, Infect",4,4,Infect
"Skrelv, Defector Mite",Phyrexian Mite,1.0,W,"Toxic 1 (Players dealt combat damage by this creature also get a poison counter.)Skrelv can't block.{W/P}, {T}: Choose a color. Another target creature you control gains toxic 1 and hexproof from that color until end of turn. It can't be blocked by creatures of that color this turn. ({W/P} can be paid with either {W} or 2 life.)",Toxic,1,1,Infect
"Skullbriar, the Walking Grave",Zombie Elemental,2.0,"B, G","HasteWhenever Skullbriar deals combat damage to a player, put a +1/+1 counter on it.Counters remain on Skullbriar as it moves to any zone other than a player's hand or library.",Haste,1,1,+1/+1 Counters
Skyfire Kirin,Kirin Spirit,4.0,R,"FlyingWhenever you cast a Spirit or Arcane spell, you may gain control of target creature with that spell's mana value until end of turn.",Flying,3,3,Spirits
Slimefoot and Squee,Fungus Goblin,3.0,"B, G, R","Whenever Slimefoot and Squee enters or attacks, create a 1/1 green Saproling creature token.{1}{B}{R}{G}, Sacrifice a Saproling: Return this card and up to one other target creature card from your graveyard to the battlefield. Activate only as a sorcery.",,3,3,Aristocrats
"Slimefoot, the Stowaway",Fungus,3.0,"B, G","Whenever a Saproling you control dies, Slimefoot deals 1 damage to each opponent and you gain 1 life.{4}: Create a 1/1 green Saproling creature token.",,2,3,Saprolings
"Slinn Voda, the Rising Deep",Leviathan,8.0,U,"Kicker {1}{U} (You may pay an additional {1}{U} as you cast this spell.)When Slinn Voda enters, if it was kicked, return all creatures to their owners' hands except for Merfolk, Krakens, Leviathans, Octopuses, and Serpents.",Kicker,8,8,Sea Creatures
"Slinza, the Spiked Stampede",Beast,5.0,"G, R","Beast spells you cast cost {2} less to cast.Each other Beast creature you control enters with an additional +1/+1 counter on it.Whenever Slinza or another creature with power 4 or greater enters, you may pay {1}{R/G}. When you do, Slinza fights target creature you don't control.",Fight,5,5,Beasts
Sliver Gravemother,Sliver,5.0,"B, G, R, U, W","The ""legend rule"" doesn't apply to Slivers you control.Each Sliver creature card in your graveyard has encore {X}, where X is its mana value.Encore {5} ({5}, Exile this card from your graveyard: For each opponent, create a token copy that attacks that opponent this turn if able. They gain haste. Sacrifice them at the beginning of the next end step. Activate only as a sorcery.)",Encore,6,6,Slivers
Sliver Hivelord,Sliver,5.0,"B, G, R, U, W","Sliver creatures you control have indestructible. (Damage and effects that say ""destroy"" don't destroy them.)",,5,5,Slivers
Sliver Legion,Sliver,5.0,"B, G, R, U, W",All Sliver creatures get +1/+1 for each other Sliver on the battlefield.,,7,7,Slivers
Sliver Overlord,Sliver Mutant,5.0,"B, G, R, U, W","{3}: Search your library for a Sliver card, reveal that card, put it into your hand, then shuffle.{3}: Gain control of target Sliver. (This effect lasts indefinitely.)",,7,7,Slivers
Sliver Queen,Sliver,5.0,"B, G, R, U, W",{2}: Create a 1/1 colorless Sliver creature token.,,7,7,Slivers
"Slogurk, the Overslime",Ooze,3.0,"G, U","TrampleWhenever a land card is put into your graveyard from anywhere, put a +1/+1 counter on Slogurk.Remove three +1/+1 counters from Slogurk: Return it to its owner's hand.When Slogurk leaves the battlefield, return up to three target land cards from your graveyard to your hand.",Trample,3,3,Lands Matter
"Slurrk, All-Ingesting",Ooze,6.0,G,"Slurrk enters with five +1/+1 counters on it.Whenever Slurrk or another creature you control dies, if it had a +1/+1 counter on it, put a +1/+1 counter on each creature you control that has a +1/+1 counter on it.Partner (You can have two commanders if both have partner.)",Partner,0,0,Oozes
"Smeagol, Helpful Guide",Halfling Horror,3.0,"B, G","At the beginning of your end step, if a creature died under your control this turn, the Ring tempts you.Whenever the Ring tempts you, target opponent reveals cards from the top of their library until they reveal a land card. Put that card onto the battlefield tapped under your control and the rest into their graveyard.",,4,2,Sacrifice
"Snapdax, Apex of the Hunt",Dinosaur Cat Nightmare,4.0,"B, R, W","Mutate {2}{B/R}{W}{W} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)Double strikeWhenever this creature mutates, it deals 4 damage to target creature or planeswalker an opponent controls and you gain 4 life.","Mutate, Double strike",3,5,Mutate
"Sokrates, Athenian Teacher",Human Advisor,3.0,"U, W","DefenderSokrates has hexproof as long as it's untapped.Sokratic Dialogue — {T}: Until end of turn, target creature gains ""If this creature would deal combat damage to a player, prevent that damage. This creature's controller and that player each draw half that many cards, rounded down.""","Sokratic Dialogue, Defender",0,4,Wheels
Sol'kanar the Swamp King,Demon,5.0,"B, R, U","Swampwalk (This creature can't be blocked as long as defending player controls a Swamp.)Whenever a player casts a black spell, you gain 1 life.","Landwalk, Swampwalk",5,5,Landwalk
Sol'Kanar the Tainted,Elemental Demon,5.0,"B, R, U","At the beginning of your end step, choose one that hasn't been chosen —• Draw a card.• Each opponent loses 2 life and you gain 2 life.• Sol'Kanar deals 3 damage to up to one other target creature or planeswalker.• Exile Sol'Kanar, then return it to the battlefield under an opponent's control.",,5,5,Donate
"Solphim, Mayhem Dominus",Phyrexian Horror,4.0,R,"If a source you control would deal noncombat damage to an opponent or a permanent an opponent controls, it deals double that damage to that player or permanent instead.{1}{R/P}{R/P}, Discard two cards: Put an indestructible counter on Solphim. ({R/P} can be paid with either {R} or 2 life.)",,5,4,Burn
"Sophia, Dogged Detective",Human Detective,4.0,"G, U, W","When Sophia enters, create Tiny, a legendary 2/2 green Dog Detective creature token with trample.{1}, Sacrifice an artifact token: Put a +1/+1 counter on each Dog you control.Whenever a Dog you control deals combat damage to a player, create a Food token, then investigate.","Investigate, Food",3,4,Clues
Soraya the Falconer,Human,3.0,W,"Bird creatures get +1/+1.{1}{W}: Target Bird creature gains banding until end of turn. (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding a player controls are blocking or being blocked by a creature, that player divides that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)",,2,2,Birds
"Sosuke, Son of Seshiro",Snake Warrior,4.0,G,"Other Snake creatures you control get +1/+0.Whenever a Warrior you control deals combat damage to a creature, destroy that creature at end of combat.",,3,4,Warriors
Soul of Windgrace,Cat Avatar,4.0,"B, G, R","Whenever Soul of Windgrace enters or attacks, you may put a land card from a graveyard onto the battlefield tapped under your control.{G}, Discard a land card: You gain 3 life.{1}{R}, Discard a land card: Draw a card.{2}{B}, Discard a land card: Soul of Windgrace gains indestructible until end of turn. Tap it.",,5,4,Lands Matter
Sovereign Okinec Ahau,Cat Noble,4.0,"G, W","Ward {2}Whenever Sovereign Okinec Ahau attacks, for each creature you control with power greater than that creature's base power, put a number of +1/+1 counters on that creature equal to the difference.",Ward,3,4,+1/+1 Counters
"Spinnerette, Arachnobat",Spider Performer,5.0,"B, G","ReachWhen Spinnerette enters, open an Attraction.As long as you control three or more Attractions, Spinnerette gets +2/+0 and has menace.","Open an Attraction, Reach",2,4,Spiders
Spirit of the Night,Demon Spirit,9.0,B,"Flying, trample, haste, protection from blackSpirit of the Night has first strike as long as it's attacking.","Flying, Protection, Haste, Trample",6,5,Color Hack
"Squee, the Immortal",Goblin,3.0,R,You may cast this card from your graveyard or from exile.,,2,1,Orcs
"Sram, Senior Edificer",Dwarf Advisor,2.0,W,"Whenever you cast an Aura, Equipment, or Vehicle spell, draw a card.",,2,2,Equipment
"Stangg, Echo Warrior",Human Warrior,4.0,"G, R","Whenever Stangg attacks, create Stangg Twin, a legendary 3/4 red and green Human Warrior creature token. It enters tapped and attacking. For each Aura and Equipment attached to Stangg, create a token that's a copy of it attached to Stangg Twin. Sacrifice all tokens created this way at the beginning of the next end step.",,3,4,Auras
"Stella Lee, Wild Card",Human Rogue,3.0,"R, U","Whenever you cast your second spell each turn, exile the top card of your library. Until the end of your next turn, you may play that card.{T}: Copy target instant or sorcery spell you control. You may choose new targets for the copy. Activate only if you've cast three or more spells this turn.",,2,4,Spellslinger
"Stenn, Paranoid Partisan",Human Wizard,2.0,"U, W","As Stenn enters, choose a card type other than creature or land.Spells you cast of the chosen type cost {1} less to cast.{1}{W}{U}: Exile Stenn. Return it to the battlefield under its owner's control at the beginning of the next end step.",,2,2,Kithkin
"Stiltzkin, Moogle Merchant",Moogle,1.0,W,"Lifelink{2}, {T}: Target opponent gains control of another target permanent you control. If they do, you draw a card.",Lifelink,1,2,Donate
"Storm, Force of Nature",Mutant Hero,4.0,"G, R, U","Flying, vigilanceCeaseless Tempest — Whenever Storm deals combat damage to a player, the next instant or sorcery spell you cast this turn has storm. (When you cast it, copy it for each spell cast before it this turn. You may choose new targets for the copies.)","Flying, Vigilance, Ceaseless Tempest",3,4,Spellslinger
"Storrev, Devkarin Lich",Zombie Elf Wizard,4.0,"B, G","TrampleWhenever Storrev deals combat damage to a player or planeswalker, return to your hand target creature or planeswalker card in your graveyard that wasn't put there this combat.",Trample,5,4,Wurms
"Storvald, Frost Giant Jarl",Giant,7.0,"G, U, W","Ward {3}Other creatures you control have ward {3}.Whenever Storvald enters or attacks, choose one or both —• Target creature has base power and toughness 7/7 until end of turn.• Target creature has base power and toughness 1/1 until end of turn.",Ward,7,7,Giants
"Strefan, Maurer Progenitor",Vampire Noble,4.0,"B, R","FlyingAt the beginning of your end step, create a Blood token for each player who lost life this turn.Whenever Strefan attacks, you may sacrifice two Blood tokens. If you do, you may put a Vampire card from your hand onto the battlefield tapped and attacking. It gains indestructible until end of turn.",Flying,3,2,Vampires
"Strong, the Brutish Thespian",Mutant Berserker,6.0,G,"Ward {2}Enrage — Whenever Strong is dealt damage, you get three rad counters and put three +1/+1 counters on Strong.You gain life rather than lose life from radiation.","Enrage, Ward",7,7,Fight
"Subira, Tulzidi Caravanner",Human Shaman,3.0,R,"Haste{1}: Another target creature with power 2 or less can't be blocked this turn.{1}{R}, {T}, Discard your hand: Until end of turn, whenever a creature you control with power 2 or less deals combat damage to a player, draw a card.",Haste,2,3,Weenies
Sunastian Falconer,Human Shaman,5.0,"G, R",{T}: Add {C}{C}.,,4,4,Shamans
"Sun Quan, Lord of Wu",Human Soldier,6.0,U,Creatures you control have horsemanship. (They can't be blocked except by creatures with horsemanship.),,4,4,Horses
Surrak and Goreclaw,Human Bear,6.0,G,"TrampleOther creatures you control have trample.Whenever another nontoken creature you control enters, put a +1/+1 counter on it. It gains haste until end of turn.",Trample,6,5,Bears
Surrak Dragonclaw,Human Warrior,5.0,"G, R, U",FlashThis spell can't be countered.Creature spells you control can't be countered.Other creatures you control have trample.,Flash,6,6,Primal Surge
"Svella, Ice Shaper",Troll Warrior,3.0,"G, R","{3}, {T}: Create a colorless snow artifact token named Icy Manalith with ""{T}: Add one mana of any color.""{6}{R}{G}, {T}: Look at the top four cards of your library. You may cast a spell from among them without paying its mana cost. Put the rest on the bottom of your library in a random order.",,2,4,Land Destruction
Svyelun of Sea and Sky,Merfolk God,3.0,U,"Svyelun has indestructible as long as you control at least two other Merfolk.Whenever Svyelun attacks, draw a card.Other Merfolk you control have ward {1}. (Whenever another Merfolk you control becomes the target of a spell or ability an opponent controls, counter it unless that player pays {1}.)",,3,4,Merfolk
"Sydri, Galvanic Genius",Human Artificer,3.0,"B, U, W",{U}: Target noncreature artifact becomes an artifact creature with power and toughness each equal to its mana value until end of turn.{W}{B}: Target artifact creature gains deathtouch and lifelink until end of turn.,,2,2,Vehicles
"Sygg, River Cutthroat",Merfolk Rogue,2.0,"B, U","At the beginning of each end step, if an opponent lost 3 or more life this turn, you may draw a card. (Damage causes loss of life.)",,1,3,Rogues
"Sygg, River Guide",Merfolk Wizard,2.0,"U, W",Islandwalk (This creature can't be blocked as long as defending player controls an Island.){1}{W}: Target Merfolk you control gains protection from the color of your choice until end of turn.,"Landwalk, Islandwalk",2,2,Merfolk
"Syr Armont, the Redeemer",Human Knight,5.0,"G, W","When Syr Armont enters, create a Monster Role token attached to another target creature you control. (If you control another Role on it, put that one into the graveyard. Enchanted creature gets +1/+1 and has trample.)Enchanted creatures you control get +1/+1.",Role token,4,4,Heroic
"Syr Carah, the Bold",Human Knight,5.0,R,"Whenever Syr Carah or an instant or sorcery spell you control deals damage to a player, exile the top card of your library. You may play that card this turn.{T}: Syr Carah deals 1 damage to any target.",,3,3,Dragon's Approach
"Syr Ginger, the Meal Ender",Food Knight,2.0,No Color Identity,"Syr Ginger has trample, hexproof, and haste as long as an opponent controls a planeswalker.Whenever another artifact you control is put into a graveyard from the battlefield, put a +1/+1 counter on Syr Ginger and scry 1.{2}, {T}, Sacrifice Syr Ginger: You gain life equal to its power.",Scry,3,1,Eggs
"Syr Gwyn, Hero of Ashvale",Human Knight,6.0,"B, R, W","Vigilance, menaceWhenever an equipped creature you control attacks, you draw a card and you lose 1 life.Equipment you control have equip Knight {0}.","Vigilance, Menace",5,5,Equipment
"Syrix, Carrier of the Flame",Phoenix,4.0,"B, R","Flying, hasteAt the beginning of each end step, if a creature card left your graveyard this turn, target Phoenix you control deals damage equal to its power to any target.Whenever another Phoenix you control dies, you may cast this card from your graveyard.","Flying, Haste",3,3,Phoenixes
"Syr Konrad, the Grim",Human Knight,5.0,B,"Whenever another creature dies, or a creature card is put into a graveyard from anywhere other than the battlefield, or a creature card leaves your graveyard, Syr Konrad deals 1 damage to each opponent.{1}{B}: Each player mills a card. (They each put the top card of their library into their graveyard.)",Mill,5,4,Mill
"Sythis, Harvest's Hand",Nymph,2.0,"G, W","Whenever you cast an enchantment spell, you gain 1 life and draw a card.",,1,2,Enchantress
"Szarekh, the Silent King",Necron,4.0,B,"FlyingMy Will Be Done — Whenever Szarekh, the Silent King attacks, mill three cards. You may put an artifact creature card or Vehicle card from among the cards milled this way into your hand.","Flying, My Will Be Done, Mill",3,4,Necrons
"Taborax, Hope's Demise",Demon Cleric,3.0,B,"FlyingTaborax has lifelink as long as it has five or more +1/+1 counters on it.Whenever another nontoken creature you control dies, put a +1/+1 counter on Taborax. If that creature was a Cleric, you may draw a card. If you do, you lose 1 life.",Flying,2,2,Shadowborn Apostles
"Tadeas, Juniper Ascendant",Human Monk,4.0,"G, W","ReachTadeas has hexproof unless it's attacking.Whenever a creature you control with reach attacks, untap it and it can't be blocked by creatures with greater power this combat.Whenever one or more creatures you control deal combat damage to a player, draw a card.",Reach,1,3,Toughness Matters
"Taeko, the Patient Avalanche",Turtle Ninja,4.0,"B, U","Taeko enters tapped.Whenever another creature you control leaves the battlefield, if it didn't die, scry 1 and put a +1/+1 counter on Taeko.Whenever Taeko attacks, you may pay {U/B}. When you do, target attacking creature can't be blocked this turn.",Scry,4,5,Ninjutsu
"Tahngarth, First Mate",Minotaur Warrior,4.0,"G, R","Tahngarth can't be blocked by more than one creature.Whenever an opponent attacks with one or more creatures, if Tahngarth is tapped, you may have that opponent gain control of Tahngarth until end of combat. If you do, choose a player or planeswalker that opponent is attacking. Tahngarth is attacking that player or planeswalker.",,5,5,Minotaurs
"Tahngarth, Talruum Hero",Minotaur Warrior,5.0,R,"Vigilance{1}{R}, {T}: Tahngarth deals damage equal to its power to target creature. That creature deals damage equal to its power to Tahngarth.",Vigilance,4,4,Minotaurs
"Taigam, Ojutai Master",Human Monk,4.0,"U, W","Instant, sorcery, and Dragon spells you control can't be countered.Whenever you cast an instant or sorcery spell from your hand, if Taigam attacked this turn, that spell gains rebound. (Exile the spell as it resolves. At the beginning of your next upkeep, you may cast that card from exile without paying its mana cost.)",,3,4,Extra Turns
"Taii Wakeen, Perfect Shot",Human Mercenary,2.0,"R, W","Whenever a source you control deals noncombat damage to a creature equal to that creature's toughness, draw a card.{X}, {T}: If a source you control would deal noncombat damage to a permanent or player this turn, it deals that much damage plus X instead.",,2,3,Burn
"Tajic, Blade of the Legion",Human Soldier,4.0,"R, W","IndestructibleBattalion — Whenever Tajic and at least two other creatures attack, Tajic gets +5/+5 until end of turn.","Indestructible, Battalion",2,2,Soldiers
"Tajic, Legion's Edge",Human Soldier,3.0,"R, W","HasteMentor (Whenever this creature attacks, put a +1/+1 counter on target attacking creature with lesser power.)Prevent all noncombat damage that would be dealt to other creatures you control.{R}{W}: Tajic gains first strike until end of turn.","Mentor, Haste",3,2,Soldiers
"Takeno, Samurai General",Human Samurai,6.0,W,"Bushido 2 (Whenever this creature blocks or becomes blocked, it gets +2/+2 until end of turn.)Each other Samurai creature you control gets +1/+1 for each point of bushido it has.",Bushido,3,3,Samurai
"Talion, the Kindly Lord",Faerie Noble,4.0,"B, U","FlyingAs Talion enters, choose a number between 1 and 10.Whenever an opponent casts a spell with mana value, power, or toughness equal to the chosen number, that player loses 2 life and you draw a card.",Flying,3,4,Faeries
"Talrand, Sky Summoner",Merfolk Wizard,4.0,U,"Whenever you cast an instant or sorcery spell, create a 2/2 blue Drake creature token with flying.",,2,2,Spellslinger
"Tameshi, Reality Architect",Moonfolk Wizard,3.0,"U, W","Whenever one or more noncreature permanents are returned to hand, draw a card. This ability triggers only once each turn.{X}{W}, Return a land you control to its owner's hand: Return target artifact or enchantment card with mana value X or less from your graveyard to the battlefield. Activate only as a sorcery.",,2,3,Bounce
Taniwha,Serpent,5.0,U,"TramplePhasing (This phases in or out before you untap during each of your untap steps. While it's phased out, it's treated as though it doesn't exist.)At the beginning of your upkeep, all lands you control phase out. (They phase in before you untap during your next untap step.)","Trample, Phasing",7,7,Phasing
"Targ Nar, Demon-Fang Gnoll",Gnoll,2.0,"G, R","Pack tactics — Whenever Targ Nar attacks, if you attacked with creatures with total power 6 or greater this combat, attacking creatures get +1/+0 until end of turn.{2}{R}{G}: Double Targ Nar's power and toughness until end of turn.",Pack tactics,2,2,Raccoons
"Tariel, Reckoner of Souls",Angel,7.0,"B, R, W","Flying, vigilance{T}: Choose a creature card at random from target opponent's graveyard. Put that card onto the battlefield under your control.","Flying, Vigilance",4,7,Angels
"Tasha, the Witch Queen",Tasha,5.0,"B, U","Whenever you cast a spell you don't own, create a 3/3 black Demon creature token.+1: Draw a card. For each opponent, exile up to one target instant or sorcery card from that player's graveyard and put a page counter on it.−3: You may cast a spell from among cards in exile with page counters on them without paying its mana cost.Tasha, the Witch Queen can be your commander.",,0,0,Exile
"Tasigur, the Golden Fang",Human Shaman,6.0,"B, G, U","Delve (Each card you exile from your graveyard while casting this spell pays for {1}.){2}{G/U}{G/U}: Mill two cards, then return a nonland card of an opponent's choice from your graveyard to your hand.","Delve, Mill",4,5,Birthing Pod
"Tatsunari, Toad Rider",Human Ninja,3.0,"B, G, U","Whenever you cast an enchantment spell, if you don't control a creature named Keimi, create Keimi, a legendary 3/3 black and green Frog creature token with ""Whenever you cast an enchantment spell, each opponent loses 1 life and you gain 1 life.""{1}{G/U}: Tatsunari and target Frog you control can't be blocked this turn except by creatures with flying or reach.",,3,3,Enchantress
"Tatyova, Benthic Druid",Merfolk Druid,5.0,"G, U","Landfall — Whenever a land you control enters, you gain 1 life and draw a card.",Landfall,3,3,Lands Matter
"Tatyova, Steward of Tides",Merfolk Druid,3.0,"G, U","Land creatures you control have flying.Whenever a land you control enters, if you control seven or more lands, up to one target land you control becomes a 3/3 Elemental creature with haste. It's still a land.",,3,3,Land Animation
"Tawnos, Solemn Survivor",Human Artificer,2.0,"B, U, W","{2}, {T}: Create a token that's a copy of up to one target artifact token you control. Mill two cards.{1}{W}{U}{B}, {T}, Sacrifice two artifact tokens, Exile an artifact or creature card from your graveyard: Create a token that's a copy of the exiled card, except it's an artifact in addition to its other types. Activate only as a sorcery.",Mill,1,3,Lurrus Companion
"Tawnos, the Toymaker",Human Artificer,5.0,"G, U","Whenever you cast a Beast or Bird creature spell, you may copy it, except the copy is an artifact in addition to its other types. (The copy becomes a token.)",,3,5,Beasts
"Tayam, Luminous Enigma",Nightmare Beast,4.0,"B, G, W","Each other creature you control enters with an additional vigilance counter on it.{3}, Remove three counters from among creatures you control: Mill three cards, then return a permanent card with mana value 3 or less from your graveyard to the battlefield.",Mill,3,3,Combo
"Tazri, Beacon of Unity",Human Warrior,5.0,"B, G, R, U, W","This spell costs {1} less to cast for each creature in your party.{2/U}{2/B}{2/R}{2/G}: Look at the top six cards of your library. You may reveal up to two Cleric, Rogue, Warrior, Wizard, and/or Ally cards from among them and put them into your hand. Put the rest on the bottom of your library in a random order.",,4,6,Party
"Tazri, Stalwart Survivor",Human Warrior,3.0,"B, G, R, U, W","Each creature you control has ""{T}: Add one mana of any of this creature's colors. Spend this mana only to activate an ability of a creature. Activate only if this creature has another activated ability.""{W}{U}{B}{R}{G}, {T}: Mill five cards. Put all creature cards with activated abilities that aren't mana abilities from among the milled cards into your hand.",Mill,3,3,Zirda Companion
"Tegwyll, Duke of Splendor",Faerie Noble,3.0,"B, U","Flying, deathtouchOther Faeries you control get +1/+1.Whenever another Faerie you control dies, you draw a card and you lose 1 life.","Deathtouch, Flying",2,3,Faeries
"Tekuthal, Inquiry Dominus",Phyrexian Horror,4.0,U,"FlyingIf you would proliferate, proliferate twice instead.{1}{U/P}{U/P}, Remove three counters from among other artifacts, creatures, and planeswalkers you control: Put an indestructible counter on Tekuthal. ({U/P} can be paid with either {U} or 2 life.)","Flying, Proliferate",3,5,Planeswalkers
